_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,11>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Input_act_m[2:0,4]	%Input_act_m[2:1,4]	%Input_act_m[2:2,4]	%Input_act_m[2:0,5]	%Input_act_m[2:1,5]	%Input_act_m[2:2,5]	%Input_act_m[2:0,6]	%Input_act_m[2:1,6]	%Input_act_m[2:2,6]	%Input_act_m[2:0,7]	%Input_act_m[2:1,7]	%Input_act_m[2:2,7]	%Input_act_m[2:0,8]	%Input_act_m[2:1,8]	%Input_act_m[2:2,8]	%Input_act_m[2:0,9]	%Input_act_m[2:1,9]	%Input_act_m[2:2,9]	%Input_act_m[2:0,10]	%Input_act_m[2:1,10]	%Input_act_m[2:2,10]	%Hidden_act_m[2:0,0]<2:10,10>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:4,0]	%Hidden_act_m[2:5,0]	%Hidden_act_m[2:6,0]	%Hidden_act_m[2:7,0]	%Hidden_act_m[2:8,0]	%Hidden_act_m[2:9,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:4,1]	%Hidden_act_m[2:5,1]	%Hidden_act_m[2:6,1]	%Hidden_act_m[2:7,1]	%Hidden_act_m[2:8,1]	%Hidden_act_m[2:9,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:4,2]	%Hidden_act_m[2:5,2]	%Hidden_act_m[2:6,2]	%Hidden_act_m[2:7,2]	%Hidden_act_m[2:8,2]	%Hidden_act_m[2:9,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Hidden_act_m[2:4,3]	%Hidden_act_m[2:5,3]	%Hidden_act_m[2:6,3]	%Hidden_act_m[2:7,3]	%Hidden_act_m[2:8,3]	%Hidden_act_m[2:9,3]	%Hidden_act_m[2:0,4]	%Hidden_act_m[2:1,4]	%Hidden_act_m[2:2,4]	%Hidden_act_m[2:3,4]	%Hidden_act_m[2:4,4]	%Hidden_act_m[2:5,4]	%Hidden_act_m[2:6,4]	%Hidden_act_m[2:7,4]	%Hidden_act_m[2:8,4]	%Hidden_act_m[2:9,4]	%Hidden_act_m[2:0,5]	%Hidden_act_m[2:1,5]	%Hidden_act_m[2:2,5]	%Hidden_act_m[2:3,5]	%Hidden_act_m[2:4,5]	%Hidden_act_m[2:5,5]	%Hidden_act_m[2:6,5]	%Hidden_act_m[2:7,5]	%Hidden_act_m[2:8,5]	%Hidden_act_m[2:9,5]	%Hidden_act_m[2:0,6]	%Hidden_act_m[2:1,6]	%Hidden_act_m[2:2,6]	%Hidden_act_m[2:3,6]	%Hidden_act_m[2:4,6]	%Hidden_act_m[2:5,6]	%Hidden_act_m[2:6,6]	%Hidden_act_m[2:7,6]	%Hidden_act_m[2:8,6]	%Hidden_act_m[2:9,6]	%Hidden_act_m[2:0,7]	%Hidden_act_m[2:1,7]	%Hidden_act_m[2:2,7]	%Hidden_act_m[2:3,7]	%Hidden_act_m[2:4,7]	%Hidden_act_m[2:5,7]	%Hidden_act_m[2:6,7]	%Hidden_act_m[2:7,7]	%Hidden_act_m[2:8,7]	%Hidden_act_m[2:9,7]	%Hidden_act_m[2:0,8]	%Hidden_act_m[2:1,8]	%Hidden_act_m[2:2,8]	%Hidden_act_m[2:3,8]	%Hidden_act_m[2:4,8]	%Hidden_act_m[2:5,8]	%Hidden_act_m[2:6,8]	%Hidden_act_m[2:7,8]	%Hidden_act_m[2:8,8]	%Hidden_act_m[2:9,8]	%Hidden_act_m[2:0,9]	%Hidden_act_m[2:1,9]	%Hidden_act_m[2:2,9]	%Hidden_act_m[2:3,9]	%Hidden_act_m[2:4,9]	%Hidden_act_m[2:5,9]	%Hidden_act_m[2:6,9]	%Hidden_act_m[2:7,9]	%Hidden_act_m[2:8,9]	%Hidden_act_m[2:9,9]	%Output_act_m[2:0,0]<2:3,11>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]	%Output_act_m[2:0,4]	%Output_act_m[2:1,4]	%Output_act_m[2:2,4]	%Output_act_m[2:0,5]	%Output_act_m[2:1,5]	%Output_act_m[2:2,5]	%Output_act_m[2:0,6]	%Output_act_m[2:1,6]	%Output_act_m[2:2,6]	%Output_act_m[2:0,7]	%Output_act_m[2:1,7]	%Output_act_m[2:2,7]	%Output_act_m[2:0,8]	%Output_act_m[2:1,8]	%Output_act_m[2:2,8]	%Output_act_m[2:0,9]	%Output_act_m[2:1,9]	%Output_act_m[2:2,9]	%Output_act_m[2:0,10]	%Output_act_m[2:1,10]	%Output_act_m[2:2,10]	%Last_I_act_m[2:0,0]<2:3,11>	%Last_I_act_m[2:1,0]	%Last_I_act_m[2:2,0]	%Last_I_act_m[2:0,1]	%Last_I_act_m[2:1,1]	%Last_I_act_m[2:2,1]	%Last_I_act_m[2:0,2]	%Last_I_act_m[2:1,2]	%Last_I_act_m[2:2,2]	%Last_I_act_m[2:0,3]	%Last_I_act_m[2:1,3]	%Last_I_act_m[2:2,3]	%Last_I_act_m[2:0,4]	%Last_I_act_m[2:1,4]	%Last_I_act_m[2:2,4]	%Last_I_act_m[2:0,5]	%Last_I_act_m[2:1,5]	%Last_I_act_m[2:2,5]	%Last_I_act_m[2:0,6]	%Last_I_act_m[2:1,6]	%Last_I_act_m[2:2,6]	%Last_I_act_m[2:0,7]	%Last_I_act_m[2:1,7]	%Last_I_act_m[2:2,7]	%Last_I_act_m[2:0,8]	%Last_I_act_m[2:1,8]	%Last_I_act_m[2:2,8]	%Last_I_act_m[2:0,9]	%Last_I_act_m[2:1,9]	%Last_I_act_m[2:2,9]	%Last_I_act_m[2:0,10]	%Last_I_act_m[2:1,10]	%Last_I_act_m[2:2,10]
_D:	0	0	0	"G_H"	""	2	50	10.8625	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.959499	0.859795	0.687488	6.53487e-05	0.922134	0.926937	0.660527	0.848158	0	2.52256e-14	0.914994	0.922416	0.954656	0.940354	0.931123	0.774974	0.82231	0.00768563	1.01928e-05	0.918659	0.886152	0.844368	0.741021	0.849604	0.93534	0.916258	0	0	0.891281	0	0.962682	0.954217	3.34843e-13	0	0.937185	0	0.000601933	0.851889	0.795235	4.06745e-06	0.637196	0.899278	0.942239	1.84427e-13	0.163114	0	0	0.000825703	0.938798	0.830251	4.25945e-08	9.57021e-06	0.00133902	0.679938	0	0.853322	6.44702e-13	0.905939	0	0.93856	0.96045	0.865425	0.00101807	0.92548	0.779659	0.911718	0.0371371	0.442538	9.89887e-07	0.751165	0	0.868867	4.96502e-06	0.000128148	0	0.000970677	9.24049e-07	0.416612	0	0.023094	5.40763e-10	2.39894e-05	4.30492e-05	0.454384	0.248304	1.28948e-07	0.939217	0.797006	0.883629	2.18549e-06	0.692992	0.916813	0.961228	0.631296	0.0170908	0.00291788	0.72416	0.924997	0.929938	0.902108	0.583561	0.582662	0.583596	0.58252	0.583023	0.582763	0.582954	0.579726	0.583057	0.583885	0.583202	0.581114	0.583084	0.581613	0.582726	0.583445	0.574911	0.58174	0.583186	0.582054	0.582281	0.584194	0.583065	0.58287	0.582355	0.58268	0.582952	0.582348	0.583217	0.583026	0.583328	0.582516	0.584009	0	2.74237e-07	0	0	2.17527e-11	0	4.37114e-11	0.829789	0	1.85444e-14	0	4.32914e-14	0	0	0	0	0	0	0	0	0	0	0	0.0360194	0	0.903134	6.76411e-06	0	3.76589e-12	0	6.63128e-13	0	0
_D:	0	0	1	"H_I"	""	2	50	10.8717	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.910784	0.811572	0.833281	0.404743	0.0173026	0.829588	0.819325	0.154094	0.0274953	0	0.963817	0.96541	0	0.877392	0	0.00270187	0.821063	0.462352	0.933696	0	0.771785	0.912058	1.06124e-10	0.909151	5.48797e-06	9.66789e-08	0.863841	2.30904e-09	0.00226193	9.44549e-07	0.000511455	0.953569	0.000592697	0.919929	0	0.954874	0.923278	0.800961	0.862583	0.875851	0.864794	0	0.96299	3.38953e-09	0.872513	0.748514	0.920283	0.772414	0.845724	0	0.95338	0.298015	0.904478	0	0.92286	0.80913	0.777636	0	0.927113	0.941245	0.778497	0.0384458	1.90361e-13	0.00684654	3.85245e-11	0	0	0.657152	0.923543	0.920964	0.960682	0.0510931	0	0.828634	0.769448	0.875744	0.954909	0	0	0.945391	0.915797	0.806785	0.827841	0	0.320703	1.06212e-10	0	0.133534	0.907761	0.921604	1.13952e-10	0.942139	0.953486	5.63743e-10	1.76679e-12	0	0.0050428	0.864097	0.927595	0.909662	0.583006	0.582374	0.582911	0.582117	0.581689	0.583069	0.5837	0.583167	0.582635	0.58352	0.582951	0.580845	0.583154	0.581171	0.581599	0.583292	0.581095	0.5829	0.58331	0.582249	0.582786	0.584067	0.582325	0.583907	0.580469	0.583557	0.583768	0.583907	0.583799	0.583789	0.583787	0.584048	0.583543	0.900587	0	0	0.00496909	0	3.8702e-11	0	0	0	0	0	0	0	4.49947e-12	0.07226	0	0	4.09114e-14	0	0	0	0	6.55026e-13	0	0.0137923	0	0	0	0	0	0	0.897251	0
_D:	0	0	2	"I_D"	""	2	50	0.35126	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214198	0.94098	0	0.00883288	0.862357	0.0929498	0.912331	0	0	0.796089	2.21871e-05	8.55955e-12	0	5.82424e-09	0.874995	0.785368	0.0108876	0.919051	0	4.92289e-07	0.0500682	0.903741	0.0309689	2.83522e-05	1.34313e-07	0.918336	0.897751	0.944039	0.00103199	2.61651e-06	0.938564	0	0	0.909459	0.339176	6.23231e-11	0	0.900719	0.477962	4.67958e-09	0	0.85537	0.00453224	0	0.751273	0.79983	0.893187	0.463625	0	0.0236764	0.838728	2.17337e-13	0.89938	0.831621	0.900666	0.928148	0.00791326	5.35908e-11	0.765817	0.946211	0.4393	0.00170625	0.902974	4.05841e-09	0.926852	0.811673	0	0.297262	0.0119692	0.00214495	6.3386e-11	0.644677	0.803529	0.857456	0.892924	0	0.0540857	0.876715	0.951129	0.928961	0.937653	0.784479	0	0.758501	0	6.58064e-09	0.0157752	0.941553	0.649889	0.858573	0.824204	0.864878	0	0	0	0.826481	0.941616	0.547073	0.848892	0.93645	0.40801	0.406788	0.408368	0.407328	0.407068	0.406986	0.408391	0.407322	0.40719	0.408187	0.40752	0.405352	0.405011	0.406572	0.407587	0.406554	0.404792	0.406736	0.406223	0.405681	0.407582	0.408532	0.405261	0.408581	0.405158	0.40681	0.4084	0.407745	0.408481	0.407711	0.408374	0.408404	0.407766	3.36254e-11	0	0	0	0.311946	0	0	2.42722e-14	0	0.0670617	1.72631e-12	0	0	0.857101	2.88304e-14	0	0	6.62011e-13	1.08844e-10	1.8734e-11	2.84395e-09	0	0	0	0	0	0	5.09664e-05	0	9.93589e-10	0	1.85454e-12	0.000228657
_D:	0	0	3	"D_E"	""	2	50	10.7106	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547075	0	0	0	0.0917024	0	0	0	0.788323	0	0	1.33919e-11	0.86318	0	0.907769	0	0.884136	0	0	0	8.69417e-10	0.000685465	0.835884	0	0	0.833706	8.50214e-12	0	0	0.776666	0	0	0.843816	0	0	0.486999	0	0.821544	2.43548e-12	0.877056	0.848349	0.877145	0	0.702439	0.362041	4.96288e-06	0.70388	0	0	0.884596	0.151893	0.860498	0	0	0.864795	0	0	3.42209e-06	0.709937	0.85326	0.885917	0	0.910188	0.894429	0.0181943	0.744977	0	3.95486e-13	0	0.837581	0.655969	0.72283	0.0324772	0.791167	0	0	0	0.89108	0	0.793582	0	0.895382	0.845584	0.907557	0	0	0	0.717463	0	0	0	0.618509	0	0	0.899297	0	0	0	0	0.774578	0.581484	0.57677	0.579622	0.579401	0.574349	0.574363	0.577443	0.580436	0.58065	0.575257	0.580585	0.576842	0.578843	0.579085	0.577854	0.574903	0.57158	0.579017	0.579175	0.580065	0.579659	0.58078	0.577098	0.581142	0.575862	0.574931	0.580888	0.580972	0.579351	0.580584	0.579921	0.577971	0.580495	5.15111e-09	1.42646e-11	0	1.72812e-13	0	0	0	0	2.18548e-12	7.0316e-10	0	0	0	0	0	0	0	2.01964e-08	0	0	0	0	0	0	0	4.8676e-06	0	0	0	0	0	2.03087e-11	0
_D:	0	0	4	"E_F"	""	2	50	10.677	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854963	0.899944	0	0	0.776355	0.80303	4.75538e-10	0.837278	0.00286639	0	0	0.902656	0.904671	0	0	0	0.651086	0.711511	0.619998	0.678495	0	0.0812777	0	0.850884	0.379667	0.81177	0.912239	0.761238	0.871383	0.472795	0.910295	0	0.845313	0	0	0	0	0.795524	0	0	0	0.544002	0.898144	0	3.44973e-11	0.0661235	0.910416	0	0	0	0	0	0.858739	0.0144821	0	0	0	0	0	1.96005e-12	0.91037	0	0	2.79932e-06	0.842955	0.890144	0.00909888	0	0	0	0	0	0.846564	5.34431e-05	0.85436	0.0134194	0	0	0.912312	0.807856	0.825377	0.848599	0.733517	0	0	0.00137015	0	1.16255e-09	1.37724e-09	1.90529e-09	0.879325	0	0	0	0	3.52066e-12	0.830312	1.46624e-10	0.5765	0.574739	0.581562	0.576721	0.578704	0.578365	0.577133	0.579549	0.580038	0.579329	0.574742	0.567928	0.577825	0.578347	0.576676	0.580452	0.571394	0.579995	0.579899	0.576599	0.57952	0.580673	0.573283	0.574293	0.575493	0.579684	0.578577	0.580492	0.57488	0.579751	0.57585	0.581385	0.581865	0	6.94843e-10	0	0	0.0353323	0.00524678	0	3.69352e-05	0	4.94706e-12	0	0.000233599	0.0128057	0	1.21476e-09	0.0295896	0	0	0	0	6.53798e-10	0.00260502	0.000353715	0	3.15194e-09	0	0	1.6488e-12	0	0	2.58962e-09	0	5.7469e-10
_D:	0	0	5	"F_C"	""	2	50	0.352825	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675087	0.736918	0.903036	0.0740849	0	0.819972	0.844148	0.801562	0.881993	0.877329	0	0.850601	0	0.0973677	1.28846e-08	0.000146697	1.87002e-07	0.674632	0.885722	0	3.44177e-13	0.902394	0.0186301	0	0	0.902462	0.0242114	0.875642	0	0	0.816681	0.749215	0	5.28035e-11	0.8692	0	0	0	0	0.878647	0.868766	0	0.0688271	0.671122	0.843873	0.775204	0	0.586731	0.868466	0.89671	2.66628e-09	2.19808e-09	0	0	0.16398	0.856428	0.64428	0	0	0.00519534	0.00462541	0.657202	4.51409e-09	0.88504	0.880478	0	0	0	0	0	0	0	0	0.878005	0	0	0.240708	0.753085	0.874256	0.89247	0.873943	0	0.851487	0	0	0.889096	0	9.21254e-10	0	0	0	7.9741e-10	0	0	0	7.07444e-11	5.59191e-11	0	0.0822777	0	0.404943	0.401636	0.40601	0.402982	0.40576	0.401243	0.406466	0.404243	0.404684	0.407639	0.404737	0.402132	0.404037	0.402612	0.405958	0.40557	0.40114	0.406111	0.407	0.404725	0.403114	0.407035	0.403836	0.403036	0.403753	0.404923	0.406273	0.405937	0.402615	0.405848	0.405908	0.405721	0.406069	0	0	0	2.38095e-09	0	0.000206193	0	0	8.00708e-09	3.06887e-10	1.1993e-08	0	0	0.0837964	0	0	0	8.90986e-13	0	0	0	0	0.0636259	0	0.0777635	5.37617e-15	0	0	0	0.000176911	3.73267e-14	0	2.4312e-09
_D:	0	0	6	"C_Y"	""	2	50	10.8548	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888015	0	0.963409	0	0	0.949916	0.901377	0.578149	0.879944	0.962704	0.965165	0.935754	0.925431	0	0	0.951563	0.963318	0	0.0684751	0.918996	0.041907	0.64981	0.324805	1.25491e-12	1.21379e-07	0.70816	0.686181	0.858891	0.921975	0.831859	5.10844e-13	5.99971e-05	0.920202	0.951086	0.835422	0.83922	0	0.895664	0.00669409	4.5379e-06	0.958433	0.20719	0	0.892308	0	0.846082	0.925823	0.850618	0	0.959398	0	0.778204	0.638231	0	0.897406	0.937063	0	0.964317	3.08937e-05	0.616208	8.38296e-07	0.0895066	0.945809	0	0	0.00577268	0	0.943237	0	5.64131e-08	0.970357	0.942994	0	0	0	0.251653	0.94166	0.716039	0.917264	0.789273	0.952304	0.00209879	0.91277	0.842964	3.60956e-06	0.028553	0.812578	0.866207	0.00438019	0	0.00128798	0.846075	0.91714	0.870461	0	0.921039	0.919473	0	0.945337	0	0.583273	0.582219	0.584503	0.583203	0.583377	0.58276	0.582264	0.581347	0.583177	0.582577	0.582676	0.578383	0.582538	0.581502	0.582765	0.582051	0.581039	0.582702	0.583682	0.582582	0.581726	0.584128	0.579182	0.582862	0.581827	0.582654	0.583722	0.582891	0.581819	0.582015	0.582935	0.581782	0.58305	5.19944e-12	0	0	0	1.7118e-10	0	0	0	0	0	0	0.0158942	0	1.96598e-11	2.78896e-10	9.402e-14	0.935589	0	0.864942	0	0	0	0	0	0	0	0	0	0	0	0	6.0927e-15	0
_D:	0	0	7	"Y_Z"	""	2	50	10.8968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0.906775	0	0.913534	2.82755e-10	0.957066	3.97725e-11	7.09255e-08	0	0.955936	0.0449696	0.974221	0.959826	0.781332	0.514912	0.963108	0.839391	0.904481	0.919998	0.309063	0.96728	0.946656	0.951698	0.902408	0.898813	0.942151	0.354565	0.913071	0.389804	0.972934	0.915814	0.581772	0.924003	0.263608	0.916659	0.967454	0	0.848352	3.57163e-14	0.821829	0.952731	0.955748	0.924148	0.921672	0.0350266	0.839622	0.724678	0.908417	0.497039	0.872697	0.0010981	0.942586	0.00296745	0.00895566	4.93398e-05	0.941039	0.864658	0.966426	0.00565422	2.20045e-05	0.522987	0.913559	0.164997	2.65032e-07	0.972515	0.915917	0.00349414	4.93833e-08	0.966131	0.905047	7.02214e-06	0.00855934	0.81107	0.502108	0.921674	0.975033	1.01649e-05	0.740416	0.90904	0.941206	0.504746	0.0965492	0.931886	0.879465	3.19114e-05	0.708971	0.91062	0.947856	0.963174	0.0180982	0.939073	0.896824	1.51142e-05	0.966329	0.58592	0	0.967543	0.969549	0.711435	0.769693	0.903822	0.583976	0.58332	0.584894	0.582785	0.58356	0.584332	0.584012	0.583194	0.58413	0.584653	0.583462	0.582329	0.582955	0.583357	0.582991	0.584144	0.580855	0.583304	0.584459	0.581785	0.582883	0.584846	0.582843	0.584378	0.582628	0.583115	0.583817	0.58403	0.58419	0.584064	0.584572	0.582983	0.58371	0	0	0	0.587966	0	0	0	0	1.2653e-09	0.00175963	0	0	0	0	0	0	0.000818051	0.00130574	9.23156e-05	0.866253	0	0.791285	0.00157872	0	0	0.354926	0	0	0	0.821773	0	0	0
_D:	0	0	8	"Z_A"	""	2	50	0.351629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0.0571342	0	6.15456e-08	0.000134091	0.604903	0.0346058	0	3.89076e-06	0.00858278	2.40753e-05	0.90834	9.78738e-08	0.401793	0	0.856323	0.948371	0	0.840616	0.925919	1.54604e-07	0.952459	0.00100752	0.872186	0.0176221	0.000108303	0.849897	0.947314	0.894414	0.00141697	0.90988	0.897164	0.88263	0.00782429	0.911951	0.650529	0.881569	0.557814	0	0.935156	0	0.813195	0	0.0197384	0	9.628e-12	0	0.956074	0	0	0	0.0351345	0.748942	0.761555	0.731769	0.784989	0.125388	0.627578	0	0.934632	0.271054	0.91845	0.905976	0	0.899163	0.895604	0	0.951532	0.922953	0	0.886862	0.00362192	0.0334484	0.842124	0.0397963	0.507967	0.890393	0.661497	0.959839	0.911279	0.937433	0	0.78419	0.85615	0.934607	5.35962e-08	0.00059285	0.8747	0.043791	0.935171	0.711901	0.901394	0	0.888842	4.03154e-06	0.932687	0.901707	0.0225895	0.715805	0	0.407017	0.40598	0.408605	0.408698	0.407968	0.407442	0.406983	0.405109	0.407628	0.407696	0.406949	0.405816	0.405928	0.407172	0.406864	0.407692	0.40395	0.407119	0.407573	0.406431	0.40764	0.408493	0.405726	0.407484	0.407081	0.407684	0.407499	0.40584	0.407907	0.406994	0.407517	0.408151	0.40709	7.28578e-06	0	2.60353e-09	0.000109066	0.902923	0.0807759	0	2.72596e-10	6.983e-10	0	0	0.00127414	0	0	5.81702e-11	0	0.511981	2.51718e-10	1.83409e-09	0	0	0	8.11836e-11	0	0	2.64278e-10	0	0	0	0	0	0	0
_D:	0	0	9	"A_B"	""	2	50	0.673764	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.842114	1.66452e-07	0.888426	0.579189	0	0.911812	0	0.901725	0.152238	0.900537	0	0	0.883413	0.879822	0.763385	0	0.834028	0	0	0	0	0.563276	0	0.845749	0.334201	0.895891	0.70595	0.787251	0.683597	0.0180193	0.90384	0.616206	0	0.901585	0.836113	0.381716	0.895528	0	0.530795	0	0	0	0	0	0.874448	0.737628	0	1.33002e-05	0	0	0.853662	0	0	2.44908e-05	0	0	0	0.901937	0.909313	0	5.42043e-11	0	4.15021e-06	1.68136e-06	0	0.735115	0.247973	0	0	5.1708e-06	0.815807	0	0.801378	0	0	0.58346	0.903388	0.884638	0	1.86924e-10	0.00303645	0.0295004	0.000122251	0.750428	0.718133	0.000120842	2.0054e-07	5.33372e-05	0.223264	0.915159	0	0.824773	0.918308	0	0	0.82505	0.892312	0.819141	0.669392	0.407026	0.402201	0.407551	0.404272	0.406893	0.405288	0.405956	0.404924	0.406495	0.407574	0.405946	0.404909	0.40047	0.403693	0.404594	0.404694	0.562495	0.406682	0.406324	0.406489	0.405607	0.406407	0.403566	0.406381	0.404602	0.406132	0.405741	0.407327	0.407329	0.406746	0.405229	0.405302	0.406626	0.000588557	0	0	0.28363	0	0	0	0	0.0143682	1.52393e-09	4.44796e-10	0	0	0	0	0	1.53838e-11	0	0	3.46694e-11	0	0.0479407	0	0.00134241	5.34376e-10	2.98092e-09	4.71017e-14	1.90559e-12	0	0	0	1.59379e-13	0
