_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,4>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Hidden_act_m[2:0,0]<2:4,4>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Output_act_m[2:0,0]<2:3,4>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]
_D:	0	0	0	"G_H"	""	2	50	6.83236	0	0	0	0	0	0	0	0.95	0	0	0	0	0	2.22927e-05	0.860432	0.863563	0.566208	0.89333	1.48339e-10	0.794503	0.000120535	0.836803	0.000398659	0.934416	0.838758	0.928544	0.000400569	0.00505312	0.00168342	0.949562	0.928222	0.963213	0.630055	1.16043e-05	0.0167661	0.00244602	0	0.000205878	0.95584	0.956344	0.957141
_D:	0	0	1	"H_I"	""	2	50	5.28428	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0.000333548	0.850155	0.84762	0.464993	0.911815	1.26337e-05	0.923788	0.0173732	0.0145675	0.13663	0.919582	0.135945	0.889378	0.905775	0	0.00021072	0.930643	0.0373323	0.949245	0.899273	7.4627e-06	0.000265546	0.0286469	0.000131449	0.609177	0.958952	0.941349	0.950105
_D:	0	0	2	"I_D"	""	2	50	7.49264	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0.00124062	0.867363	0.836306	0.915209	0.89276	0.737251	0.00819357	5.45609e-08	0.803938	0.00425362	0.769931	0.903101	0.869597	0	0	0.670414	0.936271	0.956614	0.958021	1.41546e-11	0.0011088	0.864787	0.637719	0.000804264	2.15588e-05	0.948156	0.92928	0.930601
_D:	0	0	3	"D_E"	""	2	50	7.71509	0	0	0	0	0.95	0	0	0	0	0	0	0	0	1.48613e-11	0.831776	0.904143	0	0.73489	0.917386	0.693084	0.790164	0.461676	0.847685	0.912943	0	0.0297408	0.913274	0.00585559	7.41695e-05	0.917785	0.000305256	0.0437933	0.935157	0	0.000329514	0.909341	0.874869	0.890784	0.945189	0.934341	0.919823
_D:	0	0	4	"E_F"	""	2	50	5.73652	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0.673124	0.0641106	0.905864	0.754596	0.798435	0.81169	3.77514e-07	0.697105	0.712332	0.933261	0.841897	0.664345	4.16971e-05	0.0397311	0.704538	0.859751	0.939424	0.930154	0.476184	0.000258157	0.859746	0.853017	0	2.85245e-09	0.913767	0.893482	0.942725
_D:	0	0	5	"F_A"	""	2	50	6.33845	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0.796312	4.82442e-05	0.00145921	0.91493	2.03454e-08	0.929616	0	0.000221099	0.00108899	0.899286	0.89291	0.0348152	0.850046	0.829684	0.588359	7.63532e-06	0.00269879	0.824069	3.59234e-06	0.917852	0.74485	0.910585	0.877261	0.000340026	0.886797	0.939326	0.181426	0.00554244
_D:	0	0	6	"A_B"	""	2	50	7.23873	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0.866608	0.87519	0	0.917614	1.34887e-11	0.882611	0.437793	0.709002	0.688642	0.69524	4.25808e-05	0.855358	0.926584	2.82783e-09	3.68983e-05	0.93845	0	0.926296	0.903289	2.27358e-07	3.89432e-07	0.00203654	0.592173	0.829069	0.944907	0.923134	0.94923
_D:	0	0	7	"B_C"	""	2	50	4.79805	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0.000306121	0.756083	0.790273	0.895664	0.925202	2.36128e-10	0.538117	0	0.705735	7.59219e-05	0.608125	0.866874	0.761593	0	0	0.799805	0.929892	0.949328	0.964644	1.14598e-07	0.00837695	0.679068	0.00479626	1.0403e-06	2.15066e-05	0.908001	0.920017	0.948732
_D:	0	0	8	"C_A"	""	2	50	4.85367	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0.0118137	0.914467	0.434017	0.912959	0.852873	0.099946	0.0769103	1.74617e-10	0.878702	0.84203	0.809557	0.78863	0.885641	0	0	0.0404218	0.921088	0.903601	0.922299	1.18505e-08	0.527016	0.805005	0.486096	0	1.98752e-05	0.854013	0.834188	0.914086
_D:	0	0	9	"A_B"	""	2	50	7.27887	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0.800923	0.867269	0	0.899696	0.00112784	0.874222	0.722468	0.568818	0.676769	0.53358	4.44114e-06	0.777098	0.931775	0.000103922	0.000433717	0.907337	1.9015e-10	0.881326	0.917543	1.20558e-05	2.50451e-07	0.00202088	0.734919	0.879056	0.924849	0.899461	0.927235
