_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,11>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Input_act_m[2:0,4]	%Input_act_m[2:1,4]	%Input_act_m[2:2,4]	%Input_act_m[2:0,5]	%Input_act_m[2:1,5]	%Input_act_m[2:2,5]	%Input_act_m[2:0,6]	%Input_act_m[2:1,6]	%Input_act_m[2:2,6]	%Input_act_m[2:0,7]	%Input_act_m[2:1,7]	%Input_act_m[2:2,7]	%Input_act_m[2:0,8]	%Input_act_m[2:1,8]	%Input_act_m[2:2,8]	%Input_act_m[2:0,9]	%Input_act_m[2:1,9]	%Input_act_m[2:2,9]	%Input_act_m[2:0,10]	%Input_act_m[2:1,10]	%Input_act_m[2:2,10]	%Hidden_act_m[2:0,0]<2:10,10>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:4,0]	%Hidden_act_m[2:5,0]	%Hidden_act_m[2:6,0]	%Hidden_act_m[2:7,0]	%Hidden_act_m[2:8,0]	%Hidden_act_m[2:9,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:4,1]	%Hidden_act_m[2:5,1]	%Hidden_act_m[2:6,1]	%Hidden_act_m[2:7,1]	%Hidden_act_m[2:8,1]	%Hidden_act_m[2:9,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:4,2]	%Hidden_act_m[2:5,2]	%Hidden_act_m[2:6,2]	%Hidden_act_m[2:7,2]	%Hidden_act_m[2:8,2]	%Hidden_act_m[2:9,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Hidden_act_m[2:4,3]	%Hidden_act_m[2:5,3]	%Hidden_act_m[2:6,3]	%Hidden_act_m[2:7,3]	%Hidden_act_m[2:8,3]	%Hidden_act_m[2:9,3]	%Hidden_act_m[2:0,4]	%Hidden_act_m[2:1,4]	%Hidden_act_m[2:2,4]	%Hidden_act_m[2:3,4]	%Hidden_act_m[2:4,4]	%Hidden_act_m[2:5,4]	%Hidden_act_m[2:6,4]	%Hidden_act_m[2:7,4]	%Hidden_act_m[2:8,4]	%Hidden_act_m[2:9,4]	%Hidden_act_m[2:0,5]	%Hidden_act_m[2:1,5]	%Hidden_act_m[2:2,5]	%Hidden_act_m[2:3,5]	%Hidden_act_m[2:4,5]	%Hidden_act_m[2:5,5]	%Hidden_act_m[2:6,5]	%Hidden_act_m[2:7,5]	%Hidden_act_m[2:8,5]	%Hidden_act_m[2:9,5]	%Hidden_act_m[2:0,6]	%Hidden_act_m[2:1,6]	%Hidden_act_m[2:2,6]	%Hidden_act_m[2:3,6]	%Hidden_act_m[2:4,6]	%Hidden_act_m[2:5,6]	%Hidden_act_m[2:6,6]	%Hidden_act_m[2:7,6]	%Hidden_act_m[2:8,6]	%Hidden_act_m[2:9,6]	%Hidden_act_m[2:0,7]	%Hidden_act_m[2:1,7]	%Hidden_act_m[2:2,7]	%Hidden_act_m[2:3,7]	%Hidden_act_m[2:4,7]	%Hidden_act_m[2:5,7]	%Hidden_act_m[2:6,7]	%Hidden_act_m[2:7,7]	%Hidden_act_m[2:8,7]	%Hidden_act_m[2:9,7]	%Hidden_act_m[2:0,8]	%Hidden_act_m[2:1,8]	%Hidden_act_m[2:2,8]	%Hidden_act_m[2:3,8]	%Hidden_act_m[2:4,8]	%Hidden_act_m[2:5,8]	%Hidden_act_m[2:6,8]	%Hidden_act_m[2:7,8]	%Hidden_act_m[2:8,8]	%Hidden_act_m[2:9,8]	%Hidden_act_m[2:0,9]	%Hidden_act_m[2:1,9]	%Hidden_act_m[2:2,9]	%Hidden_act_m[2:3,9]	%Hidden_act_m[2:4,9]	%Hidden_act_m[2:5,9]	%Hidden_act_m[2:6,9]	%Hidden_act_m[2:7,9]	%Hidden_act_m[2:8,9]	%Hidden_act_m[2:9,9]	%Output_act_m[2:0,0]<2:3,11>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]	%Output_act_m[2:0,4]	%Output_act_m[2:1,4]	%Output_act_m[2:2,4]	%Output_act_m[2:0,5]	%Output_act_m[2:1,5]	%Output_act_m[2:2,5]	%Output_act_m[2:0,6]	%Output_act_m[2:1,6]	%Output_act_m[2:2,6]	%Output_act_m[2:0,7]	%Output_act_m[2:1,7]	%Output_act_m[2:2,7]	%Output_act_m[2:0,8]	%Output_act_m[2:1,8]	%Output_act_m[2:2,8]	%Output_act_m[2:0,9]	%Output_act_m[2:1,9]	%Output_act_m[2:2,9]	%Output_act_m[2:0,10]	%Output_act_m[2:1,10]	%Output_act_m[2:2,10]	%Voice__act_m[2:0,0]<2:2,1>	%Voice__act_m[2:1,0]	%transi_act_m[2:0,0]<2:1,1>
_D:	0	0	0	"G_H"	""	2	50	10.8907	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406663	0.405785	0.402714	0.406522	0.405851	0.406518	0.407374	0.577397	0.573698	0.404212	0.406025	0.404722	0.406565	0.406169	0.405616	0.400256	0.401728	0.405424	0.398722	0.401708	0.407478	0.406632	0.403914	0.400647	0.405823	0.407463	0.403392	0.406311	0.403843	0.403993	0.406497	0.405015	0.407451	0.404408	0.403355	0.406869	0.404154	0.406103	0.405541	0.406829	0.404121	0.406925	0.403949	0.404219	0.406889	0.405364	0.405391	0.407556	0.406749	0.405312	0.406627	0.405587	0.403588	0.407319	0.40621	0.406795	0.404934	0.402414	0.406384	0.406528	0.404984	0.406119	0.405166	0.405471	0.405509	0.403842	0.395029	0.404648	0.406464	0.407011	0.406249	0.405957	0.406499	0.405101	0.402843	0.40762	0.402457	0.406172	0.405817	0.406251	0.402207	0.405915	0.407567	0.406393	0.406035	0.403507	0.402082	0.405951	0.406633	0.406263	0.404558	0.406314	0.407015	0.407087	0.405347	0.406465	0.407564	0.395138	0.404669	0.404622	0.582756	0.583349	0.583087	0.58295	0.583638	0.583577	0.58356	0.583216	0.583768	0.58246	0.583942	0.58405	0.583407	0.583548	0.584598	0.582805	0.583406	0.583617	0.582878	0.581355	0.584605	0.583034	0.582502	0.583679	0.584128	0.583022	0.583607	0.584122	0.583703	0.584304	0.5823	0.583926	0.582504	0	0	0
_D:	0	0	1	"H_I"	""	2	50	10.8887	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406577	0.406374	0.401979	0.406727	0.404662	0.405556	0.406656	0.403916	0.401509	0.405645	0.406034	0.405802	0.406519	0.406434	0.40516	0.398391	0.403573	0.404397	0.398098	0.403702	0.407341	0.407001	0.403529	0.400247	0.405606	0.407036	0.402408	0.406142	0.404592	0.404488	0.406284	0.405974	0.407311	0.403127	0.404664	0.406162	0.404724	0.40543	0.404493	0.406514	0.402599	0.406276	0.403261	0.40464	0.407033	0.405211	0.405955	0.407745	0.406449	0.406211	0.405846	0.405067	0.403405	0.407588	0.406556	0.40665	0.405611	0.402957	0.406708	0.406938	0.403809	0.405765	0.405478	0.405373	0.404592	0.404475	0.396421	0.404228	0.40541	0.406719	0.406437	0.406322	0.406789	0.405484	0.403294	0.408138	0.4047	0.406248	0.404595	0.405758	0.403487	0.405814	0.407506	0.406393	0.405846	0.404577	0.403108	0.406676	0.406683	0.406181	0.403433	0.406374	0.407436	0.406766	0.403826	0.406497	0.407559	0.399152	0.40398	0.40465	0.582726	0.583307	0.583014	0.582919	0.583587	0.583536	0.583525	0.58346	0.583723	0.582411	0.58391	0.584026	0.58335	0.583513	0.58459	0.582756	0.583372	0.58357	0.582814	0.58128	0.584596	0.582964	0.582423	0.583623	0.584094	0.582979	0.58357	0.584109	0.583653	0.584261	0.582255	0.58389	0.58243	0	0	0
_D:	0	0	2	"I_D"	""	2	50	8.16939	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40656	0.40575	0.403353	0.406415	0.404909	0.405983	0.406129	0.404556	0.400825	0.403482	0.405717	0.404125	0.406684	0.40577	0.405101	0.558006	0.403312	0.404523	0.39977	0.402314	0.406173	0.406153	0.403609	0.400182	0.405578	0.406841	0.404178	0.405155	0.403745	0.403743	0.40636	0.404542	0.406467	0.403913	0.404605	0.405885	0.404124	0.40533	0.404213	0.405546	0.404127	0.40631	0.403688	0.403965	0.407201	0.404582	0.405619	0.407495	0.406061	0.40453	0.405788	0.404626	0.403329	0.407225	0.406621	0.40577	0.404911	0.402671	0.405886	0.405712	0.404534	0.405342	0.573361	0.404968	0.404336	0.404541	0.398687	0.405038	0.405846	0.406005	0.405876	0.405446	0.40594	0.405517	0.400731	0.407768	0.403227	0.405554	0.404228	0.404926	0.401335	0.405511	0.407508	0.406646	0.405454	0.404568	0.569867	0.405746	0.406936	0.40455	0.403159	0.406332	0.407088	0.406576	0.404193	0.405232	0.407108	0.397759	0.405441	0.405473	0.40679	0.58315	0.582872	0.582755	0.407604	0.583428	0.583407	0.583314	0.583797	0.582284	0.583813	0.583928	0.583218	0.583373	0.584526	0.582638	0.583263	0.583421	0.582686	0.405323	0.584537	0.407011	0.406455	0.583492	0.583976	0.407057	0.583426	0.408105	0.583537	0.584172	0.406324	0.583801	0.582269	0	0	0
_D:	0	0	3	"D_E"	""	2	50	10.8848	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406119	0.405659	0.402006	0.406007	0.404649	0.406485	0.406805	0.404884	0.400752	0.404721	0.405953	0.404656	0.407067	0.405958	0.404045	0.401489	0.403319	0.404288	0.399312	0.401293	0.407193	0.40679	0.403478	0.400728	0.405414	0.407144	0.403769	0.406516	0.402003	0.402001	0.406542	0.405942	0.407123	0.404031	0.403202	0.40687	0.405629	0.405556	0.403666	0.406345	0.402149	0.406702	0.404113	0.403881	0.406924	0.405639	0.406372	0.407149	0.405371	0.406117	0.406621	0.405509	0.403512	0.407446	0.40661	0.405745	0.40554	0.4028	0.40628	0.406474	0.404145	0.406068	0.403966	0.404734	0.405082	0.404015	0.400362	0.404145	0.405163	0.406536	0.405376	0.406077	0.406445	0.405154	0.401598	0.407655	0.403386	0.406381	0.405403	0.404955	0.404244	0.40619	0.407664	0.40633	0.405681	0.404707	0.403018	0.406249	0.407004	0.406086	0.401977	0.405754	0.406899	0.406555	0.404678	0.406664	0.407387	0.399511	0.404669	0.405821	0.58257	0.583184	0.582871	0.583067	0.583475	0.583424	0.583407	0.583353	0.583823	0.582241	0.583814	0.583929	0.58323	0.583404	0.584515	0.582612	0.583246	0.583459	0.58267	0.581051	0.584523	0.582821	0.582252	0.58351	0.584006	0.582834	0.583457	0.584017	0.583552	0.584175	0.582074	0.583791	0.582254	0	0	0
_D:	0	0	4	"E_F"	""	2	50	4.41246	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579162	0.578357	0.574797	0.57989	0.577685	0.40571	0.40625	0.576486	0.570312	0.403667	0.578762	0.575898	0.579685	0.578293	0.403565	0.397699	0.568619	0.575852	0.566109	0.573386	0.579575	0.580172	0.56941	0.396298	0.577844	0.581006	0.57403	0.40558	0.57198	0.402935	0.406328	0.404129	0.406439	0.403159	0.403671	0.405926	0.577648	0.405679	0.575384	0.578687	0.573453	0.578179	0.402724	0.403989	0.580485	0.404318	0.577656	0.407144	0.40566	0.577144	0.578271	0.5776	0.576292	0.581108	0.578677	0.578491	0.576402	0.572128	0.578712	0.578322	0.57602	0.578948	0.575774	0.40464	0.575681	0.403642	0.559245	0.575972	0.405023	0.579557	0.405284	0.404609	0.406008	0.577151	0.573232	0.581493	0.402651	0.404856	0.576884	0.40517	0.402255	0.405032	0.406807	0.413858	0.579025	0.403436	0.57377	0.405239	0.406386	0.577739	0.573368	0.579286	0.40675	0.578624	0.403594	0.405983	0.580943	0.561607	0.575634	0.404324	0.581424	0.407885	0.581962	0.582109	0.582996	0.582691	0.582612	0.407963	0.408297	0.407007	0.408385	0.408377	0.407853	0.40798	0.583893	0.407409	0.407864	0.408013	0.581654	0.406084	0.583914	0.581842	0.40709	0.408	0.408443	0.581787	0.582659	0.583385	0.4081	0.58352	0.40692	0.40829	0.407111	0	0	0
_D:	0	0	5	"F_M"	""	2	50	10.8807	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406669	0.406119	0.401322	0.405967	0.404631	0.405526	0.406555	0.403249	0.401939	0.402881	0.406155	0.403942	0.406329	0.405464	0.404993	0.398134	0.402262	0.405039	0.401409	0.401822	0.407134	0.407091	0.400961	0.400091	0.405157	0.407511	0.402644	0.405943	0.402517	0.403594	0.406625	0.405478	0.406621	0.404846	0.404267	0.406201	0.403916	0.406075	0.404875	0.40576	0.40361	0.406515	0.403738	0.404853	0.407003	0.405383	0.405996	0.406989	0.406009	0.405788	0.406033	0.405943	0.404556	0.407031	0.406336	0.406221	0.405814	0.403318	0.406355	0.405842	0.404176	0.405777	0.404059	0.40427	0.404092	0.404874	0.399453	0.403182	0.406239	0.405628	0.40471	0.405871	0.406548	0.405805	0.401789	0.407371	0.40297	0.405859	0.405204	0.405729	0.401541	0.405912	0.407638	0.405875	0.405618	0.40401	0.402856	0.40525	0.406918	0.404445	0.403289	0.405934	0.407363	0.406339	0.404981	0.406385	0.407461	0.400025	0.404147	0.405342	0.58241	0.583049	0.582718	0.582931	0.583617	0.583517	0.58328	0.583237	0.58372	0.582061	0.583715	0.583828	0.583101	0.583288	0.584434	0.582455	0.583122	0.583345	0.582512	0.580798	0.584441	0.582669	0.582062	0.58339	0.583907	0.582685	0.583333	0.583918	0.583437	0.584085	0.581879	0.583685	0.582067	0	0	0
_D:	0	0	6	"M_N"	""	2	50	10.8781	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406077	0.405452	0.402969	0.406355	0.404174	0.406187	0.406645	0.40347	0.40189	0.403165	0.40619	0.405402	0.407074	0.406339	0.403945	0.397522	0.400359	0.405711	0.399833	0.402524	0.406471	0.406559	0.403099	0.395854	0.405871	0.407378	0.404173	0.405554	0.404373	0.402911	0.406863	0.40561	0.406222	0.402971	0.404498	0.40658	0.404143	0.40518	0.405356	0.406166	0.402539	0.405975	0.404696	0.404686	0.406549	0.403825	0.4058	0.407385	0.405315	0.404882	0.406199	0.405481	0.404062	0.406767	0.40615	0.405592	0.405409	0.402401	0.40659	0.406224	0.40462	0.405651	0.405401	0.404261	0.405543	0.404663	0.399322	0.40493	0.405066	0.405892	0.4056	0.40526	0.406991	0.404942	0.40142	0.407807	0.402984	0.40467	0.404757	0.405081	0.403854	0.405667	0.407027	0.405869	0.405847	0.402461	0.402521	0.405491	0.407067	0.405671	0.40289	0.405323	0.407579	0.405285	0.403073	0.405925	0.40724	0.392681	0.404765	0.405107	0.582327	0.582978	0.582634	0.582856	0.58356	0.583461	0.583218	0.58318	0.583668	0.581959	0.583664	0.58377	0.583329	0.583225	0.584392	0.582368	0.583052	0.58328	0.58243	0.58066	0.5844	0.582586	0.581964	0.583325	0.583853	0.582607	0.583269	0.583865	0.583377	0.584036	0.581777	0.583628	0.581972	0	0	0
_D:	0	0	7	"N_O"	""	2	50	10.8745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406459	0.405444	0.402693	0.406684	0.40458	0.406079	0.406783	0.404235	0.40338	0.403282	0.406143	0.404191	0.406288	0.405316	0.403462	0.401889	0.400695	0.405483	0.399966	0.403204	0.40699	0.406789	0.402573	0.399759	0.405632	0.406856	0.402019	0.405328	0.403266	0.403049	0.40626	0.404489	0.406694	0.403855	0.401985	0.406627	0.40377	0.40562	0.404097	0.406323	0.402533	0.405236	0.404228	0.404711	0.40717	0.403631	0.404953	0.407461	0.406139	0.404897	0.406664	0.405135	0.404375	0.407334	0.406602	0.405085	0.405513	0.400209	0.405403	0.40566	0.404557	0.405677	0.404941	0.403762	0.404519	0.402864	0.400675	0.403815	0.405001	0.406415	0.404136	0.405222	0.406203	0.405792	0.400015	0.407528	0.402095	0.405616	0.404581	0.4045	0.403777	0.40551	0.407423	0.406196	0.406083	0.404386	0.403203	0.406193	0.406711	0.405882	0.402679	0.406254	0.407166	0.405621	0.402776	0.406287	0.4073	0.396077	0.404242	0.404297	0.582238	0.582913	0.582559	0.582789	0.583507	0.583406	0.583152	0.583122	0.583614	0.581868	0.583609	0.583716	0.583268	0.583423	0.58435	0.582289	0.582986	0.583223	0.58234	0.580533	0.584358	0.582507	0.581867	0.583264	0.583804	0.582526	0.583205	0.583817	0.583322	0.583985	0.581676	0.583572	0.581873	0	0	0
_D:	0	0	8	"O_A"	""	2	50	2.71927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405707	0.578616	0.574711	0.579486	0.577474	0.578814	0.405862	0.403472	0.572884	0.403079	0.580078	0.578083	0.581017	0.579419	0.57624	0.571163	0.570453	0.576674	0.397837	0.571766	0.580107	0.57995	0.572178	0.56858	0.575662	0.580259	0.575526	0.579354	0.577465	0.574221	0.579852	0.404393	0.580176	0.573514	0.576102	0.579703	0.576793	0.405121	0.57584	0.404822	0.572284	0.578869	0.572637	0.403887	0.580438	0.577102	0.579009	0.580824	0.577955	0.576045	0.579888	0.403951	0.574638	0.58068	0.579396	0.404942	0.577149	0.575003	0.578717	0.578993	0.577154	0.579157	0.574667	0.578174	0.577306	0.574565	0.397449	0.575257	0.404795	0.579348	0.40391	0.403695	0.579731	0.576889	0.401406	0.581631	0.575641	0.578607	0.404428	0.578245	0.574054	0.577745	0.581123	0.405688	0.579445	0.575072	0.402292	0.578359	0.405768	0.577299	0.573818	0.405126	0.581174	0.578901	0.575018	0.578349	0.581599	0.562554	0.57507	0.577583	0.407299	0.407776	0.407569	0.407629	0.408211	0.408191	0.407982	0.581819	0.408314	0.407018	0.408313	0.408444	0.408022	0.408173	0.408991	0.407262	0.581829	0.408063	0.580841	0.405954	0.408887	0.407487	0.580145	0.408075	0.582716	0.580973	0.40799	0.408472	0.408138	0.583011	0.406819	0.408258	0.406902	0	0	0
_D:	0	0	9	"A_B"	""	2	50	10.8714	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406324	0.405346	0.403512	0.406765	0.404405	0.405609	0.406195	0.404428	0.399114	0.405048	0.406546	0.404322	0.406974	0.406174	0.403713	0.400512	0.403488	0.403454	0.397477	0.400951	0.406872	0.406145	0.400281	0.399338	0.40374	0.406739	0.4043	0.406174	0.4031	0.401842	0.40572	0.404029	0.406249	0.40233	0.404025	0.405305	0.405381	0.405959	0.40502	0.405463	0.402548	0.406173	0.402638	0.403573	0.407257	0.404192	0.405857	0.407141	0.405541	0.404522	0.405258	0.404202	0.404678	0.407396	0.405894	0.40549	0.403548	0.401826	0.406213	0.405803	0.403535	0.405553	0.405226	0.404143	0.403612	0.40463	0.400146	0.403791	0.405979	0.406273	0.404466	0.404412	0.40577	0.405413	0.4032	0.407895	0.401911	0.405582	0.405351	0.405546	0.403202	0.405559	0.40661	0.406095	0.40614	0.40327	0.402664	0.405871	0.406388	0.404863	0.403829	0.405387	0.40673	0.405688	0.403247	0.405132	0.406647	0.393571	0.403302	0.405413	0.582372	0.582767	0.582391	0.582641	0.583394	0.583289	0.583013	0.582989	0.583504	0.581663	0.583501	0.583602	0.583149	0.58331	0.58443	0.582119	0.582847	0.5831	0.582175	0.580256	0.58427	0.582338	0.581665	0.583134	0.583697	0.58236	0.583071	0.583712	0.5832	0.583885	0.581459	0.583456	0.581667	0	0	0
